Address,Distance to Nearest Park,Nearest Park,Park Quality,Beds,Baths,Parking,Type,Weekly Price,Latitude,Longitude
"8 Firmin Road, Churchill VIC 3842",8.240410633,Morwell Centenary Rose Garden,Average Park,3,1,4,House,340,-38.3084417,146.4132594
"6A Glendenning Street, Canadian VIC 3350",0.270824606,NRMA Ballarat Holiday Park,Average Park,2,1,1,House,355,-37.5722532,143.8743653
"22 Montgomery Street, Ararat VIC 3377",72.02818042,Black Range State Park,Poor Park,3,1,1,House,350,-37.2946292,142.9220488
"5/91 Grant St, Sebastopol VIC 3356",1.664759011,Morshead Park,Poor Park,2,1,1,House,360,-37.5940564,143.8322615
"127 Grey Street, Traralgon VIC 3844",0.572714141,Park,Poor Park,3,1,0,House,380,-38.1923982,146.5255071
"26 Furlonger Street, Traralgon VIC 3844",0.154038749,Park,Poor Park,3,1,3,House,360,-38.2065305,146.5528661
"14 Granault Parade, Corio VIC 3214",3.010327457,Fountain of Friendship Park,Poor Park,3,1,2,House,380,-38.0755562,144.364918
"197 Spencer Street, Sebastopol VIC 3356",2.99411487,Morshead Park,Poor Park,3,1,2,House,375,-37.6051387,143.8384464
"33 Vista Drive, Melton VIC 3337",1.404635241,Navan Park,Poor Park,3,1,3,House,400,-37.6815436,144.5761945
"304 Cobden Street, Mount Pleasant VIC 3350",1.384919298,NRMA Ballarat Holiday Park,Average Park,3,1,1,House,400,-37.5772466,143.8567105
"228 Walker Street, Sebastopol VIC 3356",1.773097939,Morshead Park,Poor Park,3,2,2,House,400,-37.595181,143.8259515
"5 Chapel Street, Nathalia VIC 3638",0.461469549,Barmah National Park,Poor Park,2,1,2,House,390,-36.0568638,145.2084122
"5 Fisher Place, Kurunjang VIC 3337",2.346851259,Friends Of The Melton Botanic Garden,Poor Park,3,1,2,House,380,-37.6673364,144.5966068
"24a Grammar Street, Wendouree VIC 3355",1.723347257,Ballarat Botanical Gardens,Good Park,2,1,1,House,395,-37.535422,143.8346877
"418 Campbell Street, Swan Hill VIC 3585",105.0205458,Torrumbarry Weir Holiday Park,Poor Park,3,1,0,House,350,-35.3475463,143.5615185
"24 Grammar Street, Wendouree VIC 3355",1.723347257,Ballarat Botanical Gardens,Good Park,3,1,1,House,370,-37.535422,143.8346877
"205A Dowling St, Wendouree VIC 3355",1.800449918,Ballarat Botanical Gardens,Good Park,3,1,1,House,380,-37.5401052,143.839949
"17 Nine Mile Road, Napoleons VIC 3352",10.46153154,Enfield State Park,Poor Park,3,1,2,House,385,-37.6832636,143.8271447
"2/302 Errard Street South, Ballarat Central VIC 3350",0.747900636,Sturt Street Gardens,Poor Park,2,1,1,House,380,-37.5674817,143.8474561
"48 Allen Crescent, Traralgon VIC 3844",0.915220678,Park,Poor Park,3,1,2,House,400,-38.2016318,146.5589514
