Name,Address,Longitude,Latitude
Watergardens Shopping Centre,"399 Melton Highway, Taylors Lakes",144.7767572,-37.6989971
Sweet Tomato,"371-373 Clayton Road, Clayton",145.1190045,-37.9268891
The Pines Shopping Centre,"181 Reynolds Road, Doncaster East",145.1686409,-37.7619566
Parkmore Shopping Centre,"317 Cheltenham Road, Keysborough",145.1730838,-37.9925747
Royal Arcade,"335 Bourke Street, Melbourne",144.9640625,-37.8145388
Forest Hill Chase,"270 Canterbury Road, Forest Hill",145.1644833,-37.8355107
670 Chapel,"670 Chapel Street, South Yarra",144.996265,-37.83735300000001
The Block Arcade,"282 Collins Street, Melbourne",144.9646665,-37.815795
Westfield Southland,"1239 Nepean Highway, Cheltenham",145.0510807,-37.9584584
Northland Shopping Centre,"2-50 Murray Road, Preston",145.0299969,-37.7389461
Collins Place,"45 Collins Street, Melbourne",144.9733256,-37.8144674
Casey Central,"400 Narre Warren - Cranbourne Road, Narre Warren South",145.3001416,-38.0671339
Cranbourne Park Shopping Centre,"125 High Street, Cranbourne",145.2821866,-38.1089868
Eastland Shopping Centre,"175 Maroondah Highway, Ringwood",145.2292803,-37.81265920000001
Box Hill Central,"1 Main Street, Box Hill",145.1220999,-37.81910179999999
Barkly Square,"90-106 Sydney Road, Brunswick",144.9620386,-37.7756812
Altona Village,Altona,144.8292597,-37.8694697
MAX&Co.,"619 Doncaster Road, Doncaster",145.1264043,-37.7841847
Springvale Plaza Shopping Centre,"Heatherton Road, Springvale South",145.1431527,-37.9618704
ANAESSIA & CARNIVEL BRIDAL FASHION HOUSE,"St Collins Lane Ground Floor, Shop RG07, 260 Collins Street, Melbourne",144.9650986,-37.8152725
Burwood One Shopping Centre,"172-210 Burwood Highway, Burwood East",145.1501371,-37.8537966
Centrepoint,"283-297 Bourke Street, Melbourne",144.9652277,-37.81411209999999
Costanzo Coburg,"382-384 Sydney Road, Coburg",144.966272,-37.744492
IGA Xpress Croydon South,"13 The Mall, Croydon South",145.270508,-37.811268
